"","Country","Year","GC_Top Marginal Rates"
"885","FIN",1975,0.11
"886","FIN",1976,0.11
"887","FIN",1977,0.11
"888","FIN",1978,0.11
"889","FIN",1979,0.14
"890","FIN",1980,0.14
"891","FIN",1981,0.14
"892","FIN",1982,0.14
"893","FIN",1983,0.14
"894","FIN",1984,0.14
"895","FIN",1985,0.14
"896","FIN",1986,0.14
"897","FIN",1987,0.14
"898","FIN",1988,0.14
"899","FIN",1989,0.14
"900","FIN",1990,0.14
"901","FIN",1991,0.14
"902","FIN",1992,0.14
"903","FIN",1993,0.14
"904","FIN",1994,0.14
"905","FIN",1995,0.14
"906","FIN",1996,0.16
"907","FIN",1997,0.16
"908","FIN",1998,0.16
"909","FIN",1999,0.16
"910","FIN",2000,0.16
"911","FIN",2001,0.16
"912","FIN",2002,0.16
"913","FIN",2003,0.16
"914","FIN",2004,0.16
"915","FIN",2005,0.16
"916","FIN",2006,0.16
"917","FIN",2007,0.16
"918","FIN",2008,0.16
"919","FIN",2009,0.13
"920","FIN",2010,0.13
"921","FIN",2011,0.13
"922","FIN",2012,0.16
"923","FIN",2013,0.19
"924","FIN",2014,0.19
"925","FIN",2015,0.2
"926","FIN",2016,0.2
"927","FIN",2017,0.19
"928","FIN",2018,0.19
"929","FIN",2019,0.19
"930","FIN",2020,0.19
"931","FIN",2021,0.19
"932","PER",1964,0.48
"933","PER",1965,0.48
"934","PER",1966,0.48
"935","PER",1967,0.48
"936","PER",1968,0.48
"937","PER",1969,0.48
"938","PER",1970,0.48
"939","PER",1971,0.48
"940","PER",1972,0.48
"941","PER",1973,0.48
"942","PER",1974,0.48
"943","PER",1975,0.48
"944","PER",1976,0.48
"945","PER",1977,0.48
"946","PER",1978,0.48
"947","PER",1979,0.48
"948","PER",1980,0
"949","PER",1981,0
"950","PER",1982,0
"951","PER",1983,0
"952","PER",1984,0
"953","PER",1985,0
"954","PER",1986,0
"955","PER",1987,0
"956","PER",1988,0
"957","PER",1989,0
"958","PER",1990,0
"959","PER",1991,0
"960","PER",1992,0
"961","PER",1993,0
"962","PER",1994,0
"963","PER",1995,0
"964","PER",1996,0
"965","PER",1997,0
"966","PER",1998,0
"967","PER",1999,0
"968","PER",2000,0
"969","PER",2001,0
"970","PER",2002,0
"971","PER",2003,0
"972","PER",2004,0
"973","PER",2005,0
"974","PER",2006,0
"975","PER",2007,0
"976","PER",2008,0
"977","PER",2009,0
"978","PER",2010,0
"979","PER",2011,0
"980","PER",2012,0
"981","PER",2013,0
"982","PER",2014,0
"983","PER",2015,0
"984","PER",2016,0
"985","PER",2017,0
"986","PER",2018,0
"987","PER",2019,0
"988","PER",2020,0
"989","PER",2021,0
"990","AUT",1964,0.15
"991","AUT",1965,0.15
"992","AUT",1966,0.15
"993","AUT",1967,0.15
"994","AUT",1968,0.15
"995","AUT",1969,0.15
"996","AUT",1970,0.15
"997","AUT",1971,0.15
"998","AUT",1972,0.15
"999","AUT",1973,0.15
"1000","AUT",1974,0.15
"1001","AUT",1975,0.15
"1002","AUT",1976,0.15
