"","Country","Year","Unemployment_rate","GDP_constant_billions","GDP_current_billions"
"333","ALB",1972,NA,NA,NA
"334","ALB",1973,NA,NA,NA
"335","ALB",1974,NA,NA,NA
"336","ALB",1975,NA,NA,NA
"337","ALB",1976,NA,NA,NA
"338","ALB",1977,NA,NA,NA
"339","ALB",1978,NA,NA,NA
"340","ALB",1979,NA,NA,NA
"341","ALB",1980,5.6,4.6506263788948,NA
"342","ALB",1981,5.1,4.91783440943272,NA
"343","ALB",1982,3.6,5.06284151751705,NA
"344","ALB",1983,4.4,5.11878279058601,NA
"345","ALB",1984,5.7,5.05471627696241,1.857337995338
"346","ALB",1985,6.7,5.14472277700532,1.89705011655012
"347","ALB",1986,6.4,5.43474331080588,2.09732625
"348","ALB",1987,6.1,5.39192608481754,2.08079625
"349","ALB",1988,7,5.31535859620905,2.05123625
"350","ALB",1989,7.3,5.83820644755577,2.25309
"351","ALB",1990,9.5,5.27916080575993,2.02855375
"352","ALB",1991,9.1,3.80088271868776,1.09955902777778
"353","ALB",1992,26.5,3.52770906194659,0.652174990837304
"354","ALB",1993,22.3,3.8649372942247,1.18531546846295
"355","ALB",1994,18.4,4.18583788182175,1.88095086441311
"356","ALB",1995,12.9,4.74348915674337,2.39276485342107
"357","ALB",1996,12.3,5.17514664327572,3.1996408154163
"358","ALB",1997,14.9,4.61002145380966,2.2585139740968
"359","ALB",1998,17.7,5.01705978331958,2.54596454088383
"360","ALB",1999,18.4,5.66379910852767,3.21212165097755
"361","ALB",2000,16.8,6.05721886196683,3.48035525804122
"362","ALB",2001,16.4,6.55956295894637,3.9221007935403
"363","ALB",2002,4.615,6.85713911739279,4.34806824219512
"364","ALB",2003,15,7.2362454796585,5.61149625714231
"365","ALB",2004,14.4,7.63530038708491,7.18468578151876
"366","ALB",2005,6.566,8.05725947900459,8.05207724814638
"367","ALB",2006,13.8,8.53285203368952,8.89607500463516
"368","ALB",2007,15.966,9.04339471519952,10.6773248528822
"369","ALB",2008,13.06,9.72165306553613,12.8813528936855
"370","ALB",2009,13.674,10.0477454389452,12.0442055496571
"371","ALB",2010,14.086,10.4202091480929,11.9269266158015
