"","Country","Country_Name","Year","TaxRev_Income_IPC_1000","TaxRev_Social_SSC_2000","TaxRev_Payroll_PW_3000","TaxRev_Property_4000","TaxRev_ImmovProp_4100","TaxRev_NetWealth_4200","TaxRev_EIG_4300","TaxRev_GoodsServices_5000","TaxRev_Others_6000","TaxRev_TotalofGDP","Wealth_Gini","Wealth_Share_bottom50","Wealth_Share_top10","Wealth_Share_top1","v2peedueq","v2x_corr","v2x_libdem","Unemployment_rate","GDP_constant_billions","GDP_current_billions","welfare_regime"
"96","CAN","Canada",1995,46.437,13.992,2.242,10.662,9.007,1.005,0.001,25.405,1.263,34.628,0.727998682856878,0.0464,0.5701,0.2328,2.098,0.043,0.753,9.489,955.122057570817,605.961090061207,"Liberal"
"97","CAN","Canada",2016,48.133,14.696,2.031,12.052,9.692,0.061,0.039,22.978,0.11,33.258,0.732540422032486,0.0455,0.5777,0.2416,1.593,0.026,0.76,7.038,1572.67395308004,1527.99474190743,"Liberal"
"98","CAN","Canada",2017,48.391,13.994,2.022,11.898,9.455,0.062,0.043,23.581,0.114,33.044,0.735055695730608,0.045,0.5816,0.2461,2.209,0.026,0.767,6.426,1620.38628437281,1649.26564424409,"Liberal"
"99","CAN","Canada",2014,48.086,14.969,2.074,11.749,9.664,0.058,0.036,23.006,0.116,31.266,0.7353721211025,0.0451,0.5823,0.2472,1.807,0.026,0.741,7.023,1546.45729238653,1805.74987843994,"Liberal"
"100","CAN","Canada",2015,48.195,14.752,2.029,11.906,9.59,0.057,0.041,23.004,0.115,32.82,0.736151410061012,0.045,0.5835,0.249,1.593,0.026,0.741,6.945,1556.50881621714,1556.50881621714,"Liberal"
"101","CAN","Canada",2007,48.999,14.38,1.958,10.632,8.693,0.579,0,23.964,0.067,32.495,0.737129869591314,0.0447,0.5849,0.2502,2.203,0.039,0.759,6.156,1384.84812705922,1468.82040778326,"Liberal"
"102","CAN","Canada",2018,49.256,13.888,1.986,11.501,9.174,0.06,0.045,23.251,0.118,33.482,0.73523509774472,0.045,0.5819,0.2468,2.209,0.026,0.759,5.837,1664.83288759613,1725.32919278302,"Liberal"
"103","CAN","Canada",2019,48.967,14.16,2.271,11.694,9.356,0.06,0.045,22.783,0.125,33.082,0.734811457840209,0.0451,0.5813,0.246,2.209,0.028,0.766,5.69,1696.60508992738,1743.72518367252,"Liberal"
"104","CAN","Canada",2000,50.052,13.61,2.053,9.522,7.75,1.069,0.001,24.208,0.555,34.673,0.733896116366253,0.0455,0.5799,0.2448,2.203,0.043,0.759,6.829,1163.19967464676,744.773415931587,"Liberal"
"105","CAN","Canada",2021,50.971,13.966,2.211,11.301,8.705,0.054,0.052,21.442,0.109,33.919,0.735804843251628,0.045,0.5829,0.249,2.209,0.036,0.747,7.527,1696.30571072004,2007.47218146415,"Liberal"
"106","CAN","Canada",1999,49.854,13.384,2.069,10.06,8.293,1.046,0.001,24.067,0.567,35.487,0.73092618562184,0.0458,0.5749,0.2376,2.203,0.043,0.759,7.583,1106.34947342166,678.412196271118,"Liberal"
"107","CAN","Canada",2005,47.027,14.76,1.988,10.724,8.689,0.744,0,25.182,0.319,32.661,0.73540572423434,0.045,0.5822,0.2476,2.203,0.043,0.751,6.758,1322.1526563287,1173.10859877868,"Liberal"
"108","CAN","Canada",1998,48.358,13.879,2.092,10.378,8.586,1.083,0.001,24.746,0.547,35.711,0.730260946218621,0.0458,0.5736,0.2362,2.203,0.043,0.759,8.279,1052.25310469022,634,"Liberal"
"109","CHE","Switzerland",1996,43.946,26.475,0,8.342,0.584,4.197,1.012,21.069,0.17,25.425,0.729915127555103,0.045,0.5803,0.2648,3.246,0.023,0.84,3.684,475.823127148128,340.103959546926,"Cons"
"110","CHE","Switzerland",1997,43.082,26.688,0,8.815,0.6,4.203,0.972,21.236,0.179,25.103,0.729729217623003,0.045,0.58,0.2639,3.246,0.023,0.84,4.127,486.583035615464,294.788198856198,"Cons"
"111","CHE","Switzerland",2000,43.789,24.193,0,9.66,0.576,4.122,0.938,22.189,0.169,27.033,0.731090762138194,0.0447,0.5822,0.267,3.246,0.023,0.839,2.658,529.837997852025,279.216033870204,"Cons"
"112","CHE","Switzerland",2013,45.57,24.862,0,7,0.612,4.311,0.554,22.181,0.386,26.246,0.749314994253893,0.039,0.6079,0.2926,3.246,0.024,0.867,4.747,667.208623354645,706.234937370968,"Cons"
"113","CHE","Switzerland",1998,43.975,24.882,0,9.595,0.601,4.231,1.145,21.368,0.18,25.829,0.727945612517374,0.0453,0.5773,0.2584,3.246,0.023,0.84,3.568,501.326351582974,303.459014346806,"Cons"
