"","Year","Wealth_Gini","Country"
"586",2020,0.75757996456133,"BHS"
"587",2021,0.757596460903471,"BHS"
"588",2022,0.758232470672084,"BHS"
"589",1995,0.765740140131896,"BTN"
"590",1996,0.765763263423395,"BTN"
"591",1997,0.765885810391268,"BTN"
"592",1998,0.765710581212005,"BTN"
"593",1999,0.766220818791169,"BTN"
"594",2000,0.766343028644712,"BTN"
"595",2001,0.766322043008813,"BTN"
"596",2002,0.766611562818213,"BTN"
"597",2003,0.768207214039705,"BTN"
"598",2004,0.753631331299545,"BTN"
"599",2005,0.748230363339104,"BTN"
"600",2006,0.744252298465142,"BTN"
"601",2007,0.741881515859092,"BTN"
"602",2008,0.743235001357704,"BTN"
"603",2009,0.744299986719284,"BTN"
"604",2010,0.746709537566488,"BTN"
"605",2011,0.747496036678427,"BTN"
"606",2012,0.74856533348472,"BTN"
"607",2013,0.745783186026813,"BTN"
"608",2014,0.742416478701585,"BTN"
"609",2015,0.739784708053634,"BTN"
"610",2016,0.738733580787198,"BTN"
"611",2017,0.736826595844406,"BTN"
"612",2018,0.736826595844406,"BTN"
"613",2019,0.736826595844406,"BTN"
"614",2020,0.736826595844406,"BTN"
"615",2021,0.736826595844406,"BTN"
"616",2022,0.737384489107015,"BTN"
"617",1995,0.917731178438686,"BWA"
"618",1996,0.917781889418364,"BWA"
"619",1997,0.917781889418364,"BWA"
"620",1998,0.917781889418364,"BWA"
"621",1999,0.917885539102741,"BWA"
"622",2000,0.918009973464933,"BWA"
"623",2001,0.918009973464933,"BWA"
"624",2002,0.91809967510946,"BWA"
"625",2003,0.917427196291868,"BWA"
"626",2004,0.917171946321361,"BWA"
"627",2005,0.916989521422948,"BWA"
"628",2006,0.916981323198769,"BWA"
"629",2007,0.916814442015749,"BWA"
"630",2008,0.916694836157404,"BWA"
"631",2009,0.916681241937368,"BWA"
"632",2010,0.916103729367137,"BWA"
"633",2011,0.913866581881337,"BWA"
"634",2012,0.911910549872886,"BWA"
"635",2013,0.907952829242021,"BWA"
"636",2014,0.902776124792013,"BWA"
"637",2015,0.895755468516796,"BWA"
"638",2016,0.894960344512526,"BWA"
"639",2017,0.895116475816337,"BWA"
"640",2018,0.895309244019643,"BWA"
"641",2019,0.895411775707686,"BWA"
"642",2020,0.895411775707686,"BWA"
"643",2021,0.895556684785475,"BWA"
"644",2022,0.897138898684261,"BWA"
"645",1995,0.815160928154256,"BLZ"
"646",1996,0.815227799507824,"BLZ"
"647",1997,0.815264537702632,"BLZ"
"648",1998,0.815283038455675,"BLZ"
"649",1999,0.815283038455675,"BLZ"
"650",2000,0.815398561019521,"BLZ"
"651",2001,0.815407101480901,"BLZ"
"652",2002,0.815425491586922,"BLZ"
"653",2003,0.82901583228039,"BLZ"
"654",2004,0.814375269514841,"BLZ"
"655",2005,0.807071718702417,"BLZ"
"656",2006,0.828228914814275,"BLZ"
"657",2007,0.834578339138005,"BLZ"
"658",2008,0.852602269986619,"BLZ"
"659",2009,0.803492477225603,"BLZ"
"660",2010,0.827450050187508,"BLZ"
"661",2011,0.83257142948446,"BLZ"
"662",2012,0.810445647988331,"BLZ"
"663",2013,0.820353279891833,"BLZ"
"664",2014,0.780086061123768,"BLZ"
"665",2015,0.777900032740888,"BLZ"
"666",2016,0.771999855447746,"BLZ"
"667",2017,0.764422228192899,"BLZ"
"668",2018,0.757596460903471,"BLZ"
"669",2019,0.757495499948448,"BLZ"
"670",2020,0.757667370545562,"BLZ"
"671",2021,0.757691291440182,"BLZ"
"672",2022,0.774874410845712,"BLZ"
"673",1995,0.727998682856878,"CAN"
"674",1996,0.728677494874233,"CAN"
"675",1997,0.729732603047907,"CAN"
"676",1998,0.730260946218621,"CAN"
"677",1999,0.73092618562184,"CAN"
"678",2000,0.733896116366253,"CAN"
"679",2001,0.732848158610551,"CAN"
"680",2002,0.732301011739509,"CAN"
"681",2003,0.732518856829614,"CAN"
"682",2004,0.733916011927079,"CAN"
"683",2005,0.73540572423434,"CAN"
"684",2006,0.736540402105192,"CAN"
"685",2007,0.737129869591314,"CAN"
"686",2008,0.735872236190687,"CAN"
"687",2009,0.731897279306352,"CAN"
"688",2010,0.733528042591274,"CAN"
"689",2011,0.734193106205623,"CAN"
"690",2012,0.732944927835376,"CAN"
"691",2013,0.734473896510877,"CAN"
"692",2014,0.7353721211025,"CAN"
"693",2015,0.736151410061012,"CAN"
"694",2016,0.732540422032486,"CAN"
